well,qPCR_plate,qPCR_replicate,sample_ID,primer,day_frozen,treatment,sex,p47_35_cycle_result,p47_30_cycle_result,band_strength_35_cycles,band_strength_30_cycles,115_1ng_30_PCR_result,115_30_cycle_PCR_result,115_1ng_30_PCR_band,115_30_cycle_PCR_band,Cq
B08,plate_1,2,37,TPI,day3,SP,female,yes,no,weak,none,no,no,none,none,24.14
B09,plate_1,3,37,TPI,day3,SP,female,yes,no,weak,none,no,no,none,none,23.97
B10,plate_1,1,32,TPI,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,23.45
B11,plate_1,2,32,TPI,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,23.32
B12,plate_1,3,32,TPI,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,23.65
C01,plate_1,1,38,TPI,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,23.38
C02,plate_1,2,38,TPI,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,23.27
C03,plate_1,3,38,TPI,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,23.35
C04,plate_1,1,42,TPI,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,24.80
C05,plate_1,2,42,TPI,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,24.93
C06,plate_1,3,42,TPI,day3,16Cq DiNV,male,yes,yes,strong,strong,yes,yes,strong,strong,25.02
C07,plate_1,1,48,TPI,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,24.09
C08,plate_1,2,48,TPI,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,23.97
C09,plate_1,3,48,TPI,day3,16Cq DiNV,male,yes,yes,mid-strong,mid-weak,no,yes,none,mid-strong,24.40
C10,plate_1,1,64,TPI,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,23.59
C11,plate_1,2,64,TPI,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,23.69
C12,plate_1,3,64,TPI,day3,16Cq DiNV,female,yes,no,mid-weak,none,no,no,none,none,23.38
D01,plate_1,1,1,115,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,29.36
D02,plate_1,2,1,115,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,29.41
D03,plate_1,3,1,115,day0,SP,male,yes,no,mid-strong,none,no,no,none,none,29.33
D04,plate_1,1,9,115,day0,SP,female,no,no,none,none,no,no,none,none,27.72
D05,plate_1,2,9,115,day0,SP,female,no,no,none,none,no,no,none,none,27.92
D06,plate_1,3,9,115,day0,SP,female,no,no,none,none,no,no,none,none,28.14
D07,plate_1,1,10,115,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,27.08
D08,plate_1,2,10,115,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,27.12
D09,plate_1,3,10,115,day0,SP,female,yes,yes,strong,weak,no,yes,none,mid-weak,27.14
D10,plate_1,1,23,115,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,31.33
D11,plate_1,2,23,115,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,31.01
D12,plate_1,3,23,115,day0,16Cq DiNV,female,yes,no,weak,none,no,no,none,none,31.37
E01,plate_1,1,30,115,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,29.39
E02,plate_1,2,30,115,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,29.62
E03,plate_1,3,30,115,day0,16Cq DiNV,female,yes,yes,strong,mid-weak,no,yes,none,mid-weak,29.57
E04,plate_1,1,16,115,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,28.65
E05,plate_1,2,16,115,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,28.55
E06,plate_1,3,16,115,day0,16Cq DiNV,male,no,no,none,none,no,no,none,none,28.78
E07,plate_1,1,37,115,day3,SP,female,yes,no,weak,none,no,no,none,none,29.87
E08,plate_1,2,37,115,day3,SP,female,yes,no,weak,none,no,no,none,none,29.58
E09,plate_1,3,37,115,day3,SP,female,yes,no,weak,none,no,no,none,none,29.94
E10,plate_1,1,32,115,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,29.28
E11,plate_1,2,32,115,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,29.72
E12,plate_1,3,32,115,day3,SP,male,yes,yes,mid-strong,weak,no,maybe,none,weak,29.97
F01,plate_1,1,38,115,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,29.98
F02,plate_1,2,38,115,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,29.91
F03,plate_1,3,38,115,day3,SP,female,yes,yes,strong,mid-weak,no,yes,none,mid-strong,29.99
