well,qPCR_plate,qPCR_replicate,sample_ID,primer,cell_type,sample_type,day,infected?,Cq,normalized
F05,plate_2,2,39,RPL11,Dv1,cells,5,no,25.15,yes
F06,plate_2,3,39,RPL11,Dv1,cells,5,no,25.08,yes
F07,plate_2,1,38,RP49,Myd88,cells,5,yes,31.08,yes
F08,plate_2,2,38,RP49,Myd88,cells,5,yes,31.35,yes
F09,plate_2,3,38,RP49,Myd88,cells,5,yes,30.95,yes
F10,plate_2,1,40,RP49,Myd88,cells,5,no,31.37,yes
F11,plate_2,2,40,RP49,Myd88,cells,5,no,31.18,yes
F12,plate_2,3,40,RP49,Myd88,cells,5,no,32.19,yes
G01,plate_2,1,41,RPL11,Dv1,cells,5,yes,24.71,yes
G02,plate_2,2,41,RPL11,Dv1,cells,5,yes,24.67,yes
G03,plate_2,3,41,RPL11,Dv1,cells,5,yes,24.59,yes
G04,plate_2,1,43,RPL11,Dv1,cells,5,no,25.35,yes
G05,plate_2,2,43,RPL11,Dv1,cells,5,no,25.28,yes
G06,plate_2,3,43,RPL11,Dv1,cells,5,no,25.24,yes
G07,plate_2,1,42,RP49,Myd88,cells,5,yes,30.96,yes
G08,plate_2,2,42,RP49,Myd88,cells,5,yes,31.42,yes
G09,plate_2,3,42,RP49,Myd88,cells,5,yes,30.90,yes
G10,plate_2,1,44,RP49,Myd88,cells,5,no,30.62,yes
G11,plate_2,2,44,RP49,Myd88,cells,5,no,30.63,yes
G12,plate_2,3,44,RP49,Myd88,cells,5,no,30.38,yes
H01,plate_2,1,45,RPL11,Dv1,cells,5,yes,25.48,yes
H02,plate_2,2,45,RPL11,Dv1,cells,5,yes,25.49,yes
H03,plate_2,3,45,RPL11,Dv1,cells,5,yes,25.44,yes
H04,plate_2,1,47,RPL11,Dv1,cells,5,no,26.31,yes
H05,plate_2,2,47,RPL11,Dv1,cells,5,no,,yes
H06,plate_2,3,47,RPL11,Dv1,cells,5,no,27.38,yes
H07,plate_2,1,46,RP49,Myd88,cells,5,yes,32.09,yes
H08,plate_2,2,46,RP49,Myd88,cells,5,yes,31.17,yes
H09,plate_2,3,46,RP49,Myd88,cells,5,yes,31.33,yes
H10,plate_2,1,48,RP49,Myd88,cells,5,no,30.73,yes
H11,plate_2,2,48,RP49,Myd88,cells,5,no,31.01,yes
H12,plate_2,3,48,RP49,Myd88,cells,5,no,31.18,yes
