well,sample,replicate,primer,type,unique_name,Cq
E04,B puregene,1,PIF 3,Puregene,B puregene PIF3,15.44
E05,B puregene,2,PIF 3,Puregene,B puregene PIF3,15.52
E06,B puregene,3,PIF 3,Puregene,B puregene PIF3,15.55
E07,10 hirt,1,PIF 3,hirt,10 hirt PIF3,16.7
E08,10 hirt,2,PIF 3,hirt,10 hirt PIF3,16.62
E09,10 hirt,3,PIF 3,hirt,10 hirt PIF3,16.81
E10,11 hirt,1,PIF 3,hirt,11 hirt PIF3,16.66
E11,11 hirt,2,PIF 3,hirt,11 hirt PIF3,17.02
E12,11 hirt,3,PIF 3,hirt,11 hirt PIF3,16.99
F01,12 hirt,1,PIF 3,hirt,12 hirt PIF3,16.6
F02,12 hirt,2,PIF 3,hirt,12 hirt PIF3,16.56
F03,12 hirt,3,PIF 3,hirt,12 hirt PIF3,16.78
F04,13 hirt,1,PIF 3,hirt,13 hirt PIF3,16.03
F05,13 hirt,2,PIF 3,hirt,13 hirt PIF3,16.12
F06,13 hirt,3,PIF 3,hirt,13 hirt PIF3,16.07
A01,pool 1,1,TPI,hirt,pool 1 TPI,19.17
A02,pool 1,2,TPI,hirt,pool 1 TPI,20.17
A03,pool 1,3,TPI,hirt,pool 1 TPI,20.06
A04,pool 2,1,TPI,hirt,pool 2 TPI,20.29
A05,pool 2,2,TPI,hirt,pool 2 TPI,20.22
A06,pool 2,3,TPI,hirt,pool 2 TPI,20.28
A07,pool 3,1,TPI,hirt,pool 3 TPI,20.76
A08,pool 3,2,TPI,hirt,pool 3 TPI,21.02
A09,pool 3,3,TPI,hirt,pool 3 TPI,20.71
A10,pool 4,1,TPI,hirt,pool 4 TPI,20.63
A11,pool 4,2,TPI,hirt,pool 4 TPI,20.76
A12,pool 4,3,TPI,hirt,pool 4 TPI,20.87
C01,pool 1,1,PIF 3,hirt,pool 1 PIF 3,11.13
C02,pool 1,2,PIF 3,hirt,pool 1 PIF 3,11.03
C03,pool 1,3,PIF 3,hirt,pool 1 PIF 3,11.12
C04,pool 2,1,PIF 3,hirt,pool 2 PIF 3,11.31
C05,pool 2,2,PIF 3,hirt,pool 2 PIF 3,11.48
C06,pool 2,3,PIF 3,hirt,pool 2 PIF 3,11.35
C07,pool 3,1,PIF 3,hirt,pool 3 PIF 3,11.56
C08,pool 3,2,PIF 3,hirt,pool 3 PIF 3,11.7
C09,pool 3,3,PIF 3,hirt,pool 3 PIF 3,11.57
C10,pool 4,1,PIF 3,hirt,pool 4 PIF 3,11.37
C11,pool 4,2,PIF 3,hirt,pool 4 PIF 3,11.44
C12,pool 4,3,PIF 3,hirt,pool 4 PIF 3,11.51
H01,29,1,PIF 3,Puregene,Dinn-pif-D-5-1,18.41
H02,29,2,PIF 3,Puregene,Dinn-pif-D-5-1,18.27
H03,29,3,PIF 3,Puregene,Dinn-pif-D-5-1,18.14
H04,30,1,PIF 3,Puregene,Dinn-pif-D-5-2,18.46
H05,30,2,PIF 3,Puregene,Dinn-pif-D-5-2,18.6
H06,30,3,PIF 3,Puregene,Dinn-pif-D-5-2,18.45
H07,31,1,PIF 3,Puregene,Dinn-pif-D-5-3,18.03
H08,31,2,PIF 3,Puregene,Dinn-pif-D-5-3,18.14
H09,31,3,PIF 3,Puregene,Dinn-pif-D-5-3,18.14
H10,32,1,PIF 3,Puregene,Dinn-pif-D-5-4,17.51
H11,32,2,PIF 3,Puregene,Dinn-pif-D-5-4,17.66
H12,32,3,PIF 3,Puregene,Dinn-pif-D-5-4,17.88
H01,29,1,TPI,Puregene,Dinn-tpi-D-5-1,22.82
H02,29,2,TPI,Puregene,Dinn-tpi-D-5-1,22.78
H03,29,3,TPI,Puregene,Dinn-tpi-D-5-1,22.7
H04,30,1,TPI,Puregene,Dinn-tpi-D-5-2,23
H05,30,2,TPI,Puregene,Dinn-tpi-D-5-2,23.13
H06,30,3,TPI,Puregene,Dinn-tpi-D-5-2,23.09
H07,31,1,TPI,Puregene,Dinn-tpi-D-5-3,22.98
H08,31,2,TPI,Puregene,Dinn-tpi-D-5-3,22.84
H09,31,3,TPI,Puregene,Dinn-tpi-D-5-3,23.07
H10,32,1,TPI,Puregene,Dinn-tpi-D-5-4,22.21
H11,32,2,TPI,Puregene,Dinn-tpi-D-5-4,22.32
